Organize,Month,P5,P25,P50,P75,P95
0,0,32.4,33.6,34.5,35.3,36.6
0,1,35.4,36.5,37.3,38.1,39.2
0,2,37.2,38.3,39.1,39.9,41.1
0,3,38.6,39.7,40.5,41.3,42.5
0,4,39.7,40.8,41.6,42.4,43.6
0,5,40.6,41.7,42.6,43.4,44.5
0,6,41.3,42.5,43.3,44.2,45.3
0,7,42,43.1,44,44.8,46
0,8,42.5,43.7,44.5,45.4,46.6
0,9,42.9,44.2,45,45.8,47.1
0,10,43.3,44.6,45.4,46.3,47.5
0,11,43.7,44.9,45.8,46.6,47.9
0,12,44,45.2,46.1,46.9,48.2
0,13,44.2,45.5,46.3,47.2,48.5
0,14,44.4,45.7,46.6,47.5,48.7
0,15,44.7,45.9,46.8,47.7,49
0,16,44.8,46.1,47,47.9,49.2
0,17,45,46.3,47.2,48.1,49.4
0,18,45.2,46.5,47.4,48.3,49.6
0,19,45.3,46.6,47.5,48.4,49.7
0,20,45.5,46.8,47.7,48.6,49.9
0,21,45.6,46.9,47.8,48.7,50.1
0,22,45.8,47.1,48,48.9,50.2
0,23,45.9,47.2,48.1,49,50.3
0,24,46,47.3,48.3,49.2,50.5
0,25,46.1,47.5,48.4,49.3,50.6
0,26,46.2,47.6,48.5,49.4,50.8
0,27,46.3,47.7,48.6,49.5,50.9
0,28,46.5,47.8,48.7,49.7,51
0,29,46.6,47.9,48.8,49.8,51.1
0,30,46.6,48,48.9,49.9,51.2
0,31,46.7,48.1,49,50,51.3
0,32,46.8,48.2,49.1,50.1,51.4
0,33,46.9,48.3,49.2,50.2,51.5
0,34,47,48.3,49.3,50.3,51.6
0,35,47.1,48.4,49.4,50.3,51.7
0,36,47.1,48.5,49.5,50.4,51.8
0,37,47.2,48.6,49.5,50.5,51.9
0,38,47.3,48.6,49.6,50.6,52
0,39,47.3,48.7,49.7,50.6,52
0,40,47.4,48.8,49.7,50.7,52.1
0,41,47.4,48.8,49.8,50.8,52.2
0,42,47.5,48.9,49.9,50.8,52.2
0,43,47.6,49,49.9,50.9,52.3
0,44,47.6,49,50,51,52.4
0,45,47.7,49.1,50.1,51,52.4
0,46,47.7,49.1,50.1,51.1,52.5
0,47,47.8,49.2,50.2,51.1,52.6
0,48,47.8,49.2,50.2,51.2,52.6
0,49,47.9,49.3,50.3,51.2,52.7
