Organize,Month,P5,P25,P50,P75,P95
0,0,46.8,48.6,49.9,51.2,53
0,1,51.5,53.4,54.7,56,57.9
0,2,55.1,57.1,58.4,59.8,61.7
0,3,58.1,60.1,61.4,62.8,64.8
0,4,60.5,62.5,63.9,65.3,67.3
0,5,62.4,64.5,65.9,67.3,69.4
0,6,64.1,66.2,67.6,69.1,71.1
0,7,65.6,67.7,69.2,70.6,72.7
0,8,67,69.1,70.6,72.1,74.2
0,9,68.3,70.5,72,73.5,75.7
0,10,69.5,71.7,73.3,74.8,77
0,11,70.7,73,74.5,76.1,78.4
0,12,71.8,74.1,75.7,77.4,79.7
0,13,72.9,75.3,76.9,78.6,80.9
0,14,74,76.4,78,79.7,82.1
0,15,75,77.4,79.1,80.9,83.3
0,16,76,78.5,80.2,82,84.5
0,17,76.9,79.5,81.2,83,85.6
0,18,77.8,80.4,82.3,84.1,86.7
0,19,78.7,81.4,83.2,85.1,87.8
0,20,79.6,82.3,84.2,86.1,88.8
0,21,80.4,83.2,85.1,87.1,89.9
0,22,81.2,84.1,86,88,90.9
0,23,82,84.9,86.9,89,91.9
0,24,82.8,85.8,87.8,89.9,92.8
0,25,82.8,85.9,88,90.1,93.1
0,26,83.6,86.7,88.8,90.9,94
0,27,84.3,87.4,89.6,91.8,94.9
0,28,85,88.2,90.4,92.6,95.8
0,29,85.7,88.9,91.2,93.4,96.7
0,30,86.3,89.6,91.9,94.2,97.5
0,31,87,90.3,92.7,95,98.4
0,32,87.6,91,93.4,95.7,99.2
0,33,88.2,91.7,94.1,96.5,99.9
0,34,88.8,92.3,94.8,97.2,100.7
0,35,89.4,93,95.4,97.9,101.4
0,36,90,93.6,96.1,98.6,102.2
0,37,90.6,94.2,96.7,99.3,102.9
0,38,91.1,94.8,97.4,99.9,103.6
0,39,91.7,95.4,98,100.6,104.3
0,40,92.2,96,98.6,101.3,105
0,41,92.8,96.6,99.2,101.9,105.7
0,42,93.3,97.2,99.9,102.5,106.4
0,43,93.9,97.7,100.4,103.1,107
0,44,94.4,98.3,101,103.8,107.7
0,45,94.9,98.9,101.6,104.4,108.3
0,46,95.4,99.4,102.2,105,109
0,47,95.9,100,102.8,105.6,109.6
0,48,96.4,100.5,103.3,106.2,110.2
0,49,96.9,101,103.9,106.7,110.8
0,50,97.4,101.6,104.4,107.3,111.5
0,51,97.9,102.1,105,107.9,112.1
0,52,98.4,102.6,105.6,108.5,112.7
0,53,98.9,103.2,106.1,109.1,113.3
0,54,99.4,103.7,106.7,109.6,113.9
0,55,99.9,104.2,107.2,110.2,114.5
0,56,100.4,104.7,107.8,110.8,115.2
0,57,100.9,105.3,108.3,111.4,115.8
0,58,101.4,105.8,108.9,111.9,116.4
0,59,101.9,106.3,109.4,112.5,117
0,60,102.3,106.8,110,113.1,117.6
1,0,45.6,48.2,50.0,51.8,54.3
1,1,48.6,51.0,52.7,54.4,57.0
1,2,52.7,55.0,56.6,58.4,61.0
1,3,55.8,58.0,59.6,61.3,64.0
1,4,58.2,60.4,62.1,63.8,66.5
1,5,60.3,62.6,64.2,66.0,68.8
1,6,62.2,64.4,66.1,67.9,70.8
1,7,63.8,66.1,67.9,69.7,72.6
1,8,65.4,67.7,69.5,71.3,74.2
1,9,66.8,69.2,70.9,72.8,75.8
1,10,68.1,70.5,72.3,74.3,77.3
1,11,69.3,71.8,73.7,75.6,78.7
1,12,70.4,73.0,74.9,76.9,80.0
1,13,71.5,74.2,76.1,78.2,81.2
1,14,72.6,75.3,77.3,79.3,82.5
1,15,73.6,76.3,78.4,80.5,83.6
1,16,74.5,77.4,79.4,81.6,84.8
1,17,75.4,78.4,80.5,82.6,85.8
1,18,76.3,79.3,81.4,83.6,86.9
1,19,77.2,80.2,82.4,84.6,87.9
1,20,78.0,81.1,83.3,85.6,88.9
1,21,78.8,82.0,84.2,86.5,89.9
1,22,79.6,82.9,85.1,87.4,90.8
1,23,80.4,83.7,86.0,88.3,91.7
1,24,81.1,84.5,86.8,89.2,92.6
1,25,81.8,85.3,87.7,90.0,93.5
1,26,81.8,85.3,87.7,90.1,93.5
1,27,82.6,86.0,88.4,90.9,94.4
1,28,83.3,86.7,89.2,91.6,95.3
1,29,84.0,87.4,89.9,92.4,96.1
1,30,84.7,88.2,90.6,93.2,96.9
1,31,85.3,88.8,91.3,93.9,97.7
1,32,86.0,89.5,92.0,94.6,98.4
1,33,86.7,90.2,92.7,95.3,99.2
1,34,87.3,90.8,93.4,96.0,99.9
1,35,88.0,91.5,94.0,96.6,100.6
1,36,88.6,92.1,94.6,97.3,101.3
1,37,89.2,92.7,95.3,97.9,101.9
1,38,89.8,93.3,95.9,98.6,102.6
1,39,90.3,93.9,96.5,99.2,103.2
1,40,90.9,94.5,97.2,99.9,103.9
1,41,91.4,95.1,97.8,100.5,104.5
1,42,92.0,95.7,98.4,101.1,105.2
1,43,92.5,96.3,99.0,101.8,105.8
1,44,93.0,96.9,99.6,102.4,106.4
1,45,93.5,97.4,100.2,103.0,107.1
1,46,94.1,98.0,100.8,103.6,107.7
1,47,94.6,98.6,101.4,104.2,108.3
1,48,95.1,99.1,101.9,104.8,108.9
1,49,95.6,99.7,102.5,105.4,109.5
1,50,96.1,100.2,103.1,106.0,110.1
1,51,96.6,100.7,103.6,106.6,110.7
1,52,97.1,101.3,104.2,107.1,111.3
1,53,97.6,101.8,104.8,107.7,111.9
1,54,98.1,102.3,105.3,108.3,112.6
1,55,98.5,102.9,105.9,108.9,113.2
1,56,99.0,103.4,106.4,109.4,113.8
1,57,99.5,103.9,107.0,110.0,114.4
1,58,100.0,104.5,107.5,110.6,115.0
1,59,100.5,105.0,108.1,111.2,115.6
1,60,101.0,105.5,108.6,111.7,116.2
1,61,101.5,106.0,109.2,112.3,116.8
1,62,101.9,106.5,109.7,112.9,117.4
1,63,102.4,107.1,110.3,113.4,118.0
1,64,102.9,107.6,110.8,114.0,118.6
1,65,103.4,108.1,111.3,114.6,119.1
1,66,103.9,108.6,111.9,115.1,119.7
1,67,104.4,109.1,112.4,115.7,120.3
1,68,104.9,109.7,113.0,116.3,120.9
1,69,105.3,110.2,113.5,116.8,121.5
1,70,105.8,110.7,114.0,117.4,122.1
1,71,106.3,111.2,114.6,117.9,122.7
1,72,106.8,111.7,115.1,118.5,123.3
1,73,107.3,112.2,115.7,119.1,123.9
1,74,107.8,112.8,116.2,119.6,124.5
1,75,108.3,113.3,116.7,120.2,125.1
1,76,108.8,113.8,117.3,120.7,125.7
1,77,109.3,114.3,117.8,121.3,126.3
1,78,109.8,114.8,118.3,121.8,126.9
1,79,110.3,115.3,118.9,122.4,127.5
1,80,110.8,115.8,119.4,123.0,128.1
1,81,111.2,116.4,119.9,123.5,128.7
1,82,111.7,116.9,120.5,124.1,129.3
1,83,112.2,117.4,121.0,124.6,129.9
1,84,112.7,117.9,121.5,125.2,130.4
1,85,113.2,118.4,122.0,125.7,131.0
1,86,113.7,118.9,122.6,126.2,131.6
1,87,114.2,119.4,123.1,126.8,132.2
1,88,114.6,119.9,123.6,127.3,132.8
1,89,115.1,120.4,124.1,127.9,133.3
1,90,115.6,120.9,124.6,128.4,133.9
1,91,116.1,121.4,125.1,128.9,134.5
1,92,116.5,121.9,125.6,129.5,135.0
1,93,117.0,122.3,126.1,130.0,135.6
1,94,117.5,122.8,126.6,130.5,136.2
1,95,117.9,123.3,127.1,131.0,136.7
1,96,118.4,123.8,127.6,131.5,137.3
1,97,118.8,124.3,128.1,132.1,137.8
1,98,119.2,124.7,128.6,132.6,138.4
1,99,119.7,125.2,129.1,133.1,138.9
1,100,120.1,125.6,129.6,133.6,139.5
1,101,120.5,126.1,130.1,134.1,140.0
1,102,121.0,126.6,130.5,134.6,140.5
1,103,121.4,127.0,131.0,135.1,141.0
1,104,121.8,127.4,131.5,135.6,141.6
1,105,122.2,127.9,131.9,136.0,142.1
1,106,122.6,128.3,132.4,136.5,142.6
1,107,123.0,128.8,132.8,137.0,143.1
1,108,123.4,129.2,133.3,137.5,143.6
1,109,123.8,129.6,133.7,137.9,144.1
1,110,124.2,130.0,134.2,138.4,144.6
1,111,124.6,130.4,134.6,138.9,145.1
1,112,124.9,130.8,135.1,139.3,145.6
1,113,125.3,131.3,135.5,139.8,146.1
1,114,125.7,131.7,135.9,140.2,146.6
1,115,126.0,132.1,136.3,140.7,147.1
1,116,126.4,132.5,136.8,141.1,147.5
1,117,126.8,132.8,137.2,141.6,148.0
1,118,127.1,133.2,137.6,142.0,148.5
1,119,127.5,133.6,138.0,142.4,149.0
1,120,127.8,134.0,138.4,142.9,149.4
1,121,128.2,134.4,138.8,143.3,149.9
1,122,128.5,134.8,139.2,143.7,150.4
1,123,128.9,135.2,139.6,144.2,150.8
1,124,129.2,135.5,140.0,144.6,151.3
1,125,129.6,135.9,140.4,145.0,151.8
1,126,129.9,136.3,140.9,145.5,152.2
1,127,130.2,136.7,141.3,145.9,152.7
1,128,130.6,137.1,141.7,146.3,153.2
1,129,131.0,137.5,142.1,146.8,153.6
1,130,131.3,137.8,142.5,147.2,154.1
1,131,131.7,138.2,142.9,147.6,154.6
1,132,132.0,138.6,143.3,148.1,155.1
1,133,132.4,139.0,143.7,148.5,155.5
1,134,132.8,139.4,144.2,149.0,156.0
1,135,133.1,139.8,144.6,149.4,156.5
1,136,133.5,140.2,145.0,149.9,157.0
1,137,133.9,140.7,145.5,150.3,157.5
1,138,134.3,141.1,145.9,150.8,158.0
1,139,134.7,141.5,146.4,151.3,158.6
1,140,135.1,142.0,146.8,151.8,159.1
1,141,135.6,142.4,147.3,152.3,159.6
1,142,136.0,142.9,147.8,152.8,160.2
1,143,136.4,143.4,148.3,153.3,160.7
1,144,136.9,143.8,148.8,153.8,161.3
