Organize,Month,P5,P25,P50,P75,P95
0,0,2.5,2.9,3.2,3.6,4
0,1,3.3,3.8,4.2,4.6,5.2
0,2,4.1,4.7,5.1,5.6,6.3
0,3,4.7,5.4,5.8,6.4,7.2
0,4,5.2,5.9,6.4,7,7.9
0,5,5.6,6.4,6.9,7.5,8.4
0,6,6,6.7,7.3,7.9,8.9
0,7,6.3,7,7.6,8.3,9.4
0,8,6.5,7.3,7.9,8.6,9.7
0,9,6.8,7.6,8.2,8.9,10.1
0,10,7,7.8,8.5,9.2,10.4
0,11,7.2,8,8.7,9.5,10.7
0,12,7.3,8.2,8.9,9.7,11
0,13,7.5,8.4,9.2,10,11.3
0,14,7.7,8.6,9.4,10.2,11.5
0,15,7.9,8.8,9.6,10.4,11.8
0,16,8.1,9,9.8,10.7,12.1
0,17,8.2,9.2,10,10.9,12.3
0,18,8.4,9.4,10.2,11.1,12.6
0,19,8.6,9.6,10.4,11.4,12.9
0,20,8.7,9.8,10.6,11.6,13.1
0,21,8.9,10,10.9,11.8,13.4
0,22,9.1,10.2,11.1,12,13.6
0,23,9.2,10.4,11.3,12.3,13.9
0,24,9.4,10.6,11.5,12.5,14.2
0,25,9.6,10.8,11.7,12.7,14.4
0,26,9.8,10.9,11.9,12.9,14.7
0,27,9.9,11.1,12.1,13.2,15
0,28,10.1,11.3,12.3,13.4,15.2
0,29,10.2,11.5,12.5,13.6,15.5
0,30,10.4,11.7,12.7,13.8,15.7
0,31,10.5,11.9,12.9,14.1,16
0,32,10.7,12,13.1,14.3,16.2
0,33,10.8,12.2,13.3,14.5,16.5
0,34,11,12.4,13.5,14.7,16.8
0,35,11.1,12.5,13.7,14.9,17
0,36,11.3,12.7,13.9,15.1,17.3
0,37,11.4,12.9,14,15.3,17.5
0,38,11.6,13,14.2,15.6,17.8
0,39,11.7,13.2,14.4,15.8,18
0,40,11.8,13.4,14.6,16,18.3
0,41,12,13.5,14.8,16.2,18.6
0,42,12.1,13.7,15,16.4,18.8
0,43,12.2,13.9,15.2,16.6,19.1
0,44,12.4,14,15.3,16.8,19.3
0,45,12.5,14.2,15.5,17,19.6
0,46,12.6,14.3,15.7,17.3,19.9
0,47,12.8,14.5,15.9,17.5,20.1
0,48,12.9,14.7,16.1,17.7,20.4
0,49,13,14.8,16.3,17.9,20.6
0,50,13.2,15,16.4,18.1,20.9
0,51,13.3,15.1,16.6,18.3,21.2
0,52,13.4,15.3,16.8,18.5,21.4
0,53,13.5,15.4,17,18.7,21.7
0,54,13.7,15.6,17.2,18.9,22
0,55,13.8,15.8,17.3,19.1,22.2
0,56,13.9,15.9,17.5,19.3,22.5
0,57,14,16.1,17.7,19.6,22.7
0,58,14.2,16.2,17.9,19.8,23
0,59,14.3,16.4,18,20,23.3
0,60,14.4,16.5,18.2,20.2,23.5
1,0,2.5,3.1,3.4,3.7,4.2
1,1,2.9,3.4,3.8,4.1,4.6
1,2,3.5,4.1,4.5,4.9,5.5
1,3,4.2,4.8,5.2,5.7,6.3
1,4,4.7,5.4,5.9,6.4,7.1
1,5,5.2,5.9,6.4,7.0,7.8
1,6,5.7,6.4,7.0,7.5,8.4
1,7,6.1,6.9,7.5,8.0,9.0
1,8,6.5,7.3,7.9,8.5,9.5
1,9,6.9,7.7,8.3,9.0,10.0
1,10,7.2,8.1,8.7,9.4,10.4
1,11,7.6,8.4,9.0,9.7,10.8
1,12,7.9,8.7,9.4,10.1,11.2
1,13,8.1,9.0,9.7,10.4,11.6
1,14,8.4,9.3,9.9,10.7,11.9
1,15,8.6,9.5,10.2,11.0,12.2
1,16,8.8,9.7,10.4,11.2,12.5
1,17,9.0,10.0,10.7,11.5,12.8
1,18,9.2,10.2,10.9,11.7,13.0
1,19,9.4,10.3,11.1,11.9,13.3
1,20,9.6,10.5,11.3,12.1,13.5
1,21,9.7,10.7,11.5,12.3,13.8
1,22,9.9,10.9,11.6,12.5,14.0
1,23,10.0,11.0,11.8,12.7,14.2
1,24,10.1,11.2,12.0,12.9,14.5
1,25,10.3,11.3,12.1,13.1,14.7
1,26,10.4,11.4,12.3,13.3,14.9
1,27,10.5,11.6,12.4,13.4,15.1
1,28,10.6,11.7,12.6,13.6,15.3
1,29,10.8,11.9,12.7,13.8,15.6
1,30,10.9,12.0,12.9,13.9,15.8
1,31,11.0,12.1,13.0,14.1,16.0
1,32,11.1,12.2,13.2,14.3,16.2
1,33,11.2,12.4,13.3,14.5,16.4
1,34,11.3,12.5,13.5,14.6,16.7
1,35,11.4,12.6,13.6,14.8,16.9
1,36,11.5,12.8,13.8,15.0,17.1
1,37,11.7,12.9,13.9,15.2,17.4
1,38,11.8,13.0,14.1,15.3,17.6
1,39,11.9,13.2,14.2,15.5,17.8
1,40,12.0,13.3,14.4,15.7,18.1
1,41,12.1,13.4,14.6,15.9,18.3
1,42,12.2,13.6,14.7,16.1,18.6
1,43,12.3,13.7,14.9,16.3,18.8
1,44,12.5,13.9,15.0,16.5,19.1
1,45,12.6,14.0,15.2,16.7,19.3
1,46,12.7,14.1,15.4,16.8,19.6
1,47,12.8,14.3,15.5,17.0,19.9
1,48,13.0,14.4,15.7,17.2,20.1
1,49,13.1,14.6,15.9,17.4,20.4
1,50,13.2,14.7,16.0,17.6,20.7
1,51,13.3,14.9,16.2,17.8,20.9
1,52,13.5,15.0,16.4,18.0,21.2
1,53,13.6,15.2,16.6,18.3,21.5
1,54,13.7,15.4,16.7,18.5,21.8
1,55,13.9,15.5,16.9,18.7,22.0
1,56,14.0,15.7,17.1,18.9,22.3
1,57,14.2,15.8,17.3,19.1,22.6
1,58,14.3,16.0,17.5,19.3,22.9
1,59,14.4,16.1,17.7,19.5,23.2
1,60,14.6,16.3,17.8,19.7,23.5
1,61,14.7,16.5,18.0,20.0,23.8
1,62,14.9,16.6,18.2,20.2,24.0
1,63,15.0,16.8,18.4,20.4,24.3
1,64,15.1,17.0,18.6,20.6,24.6
1,65,15.3,17.1,18.8,20.8,24.9
1,66,15.4,17.3,19.0,21.1,25.2
1,67,15.6,17.5,19.2,21.3,25.5
1,68,15.7,17.6,19.4,21.5,25.8
1,69,15.9,17.8,19.5,21.7,26.1
1,70,16.0,18.0,19.7,22.0,26.5
1,71,16.1,18.2,19.9,22.2,26.8
1,72,16.3,18.3,20.1,22.4,27.1
1,73,16.4,18.5,20.3,22.7,27.4
1,74,16.6,18.7,20.5,22.9,27.7
1,75,16.7,18.8,20.7,23.1,28.0
1,76,16.9,19.0,20.9,23.4,28.4
1,77,17.0,19.2,21.2,23.6,28.7
1,78,17.2,19.4,21.4,23.9,29.0
1,79,17.3,19.6,21.6,24.1,29.4
1,80,17.5,19.7,21.8,24.4,29.7
1,81,17.6,19.9,22.0,24.6,30.0
1,82,17.8,20.1,22.2,24.9,30.4
1,83,17.9,20.3,22.4,25.1,30.8
1,84,18.1,20.5,22.6,25.4,31.1
1,85,18.2,20.7,22.9,25.7,31.5
1,86,18.4,20.9,23.1,25.9,31.8
1,87,18.5,21.1,23.3,26.2,32.2
1,88,18.7,21.2,23.6,26.5,32.6
1,89,18.8,21.4,23.8,26.8,33.0
1,90,19.0,21.6,24.0,27.1,33.4
1,91,19.2,21.8,24.3,27.4,33.8
1,92,19.3,22.0,24.5,27.6,34.1
1,93,19.5,22.3,24.7,27.9,34.6
1,94,19.6,22.5,25.0,28.2,35.0
1,95,19.8,22.7,25.2,28.5,35.4
1,96,20.0,22.9,25.5,28.9,35.8
1,97,20.1,23.1,25.8,29.2,36.2
1,98,20.3,23.3,26.0,29.5,36.7
1,99,20.5,23.5,26.3,29.8,37.1
1,100,20.7,23.8,26.6,30.1,37.5
1,101,20.8,24.0,26.8,30.5,38.0
1,102,21.0,24.2,27.1,30.8,38.5
1,103,21.2,24.4,27.4,31.1,38.9
1,104,21.4,24.7,27.7,31.5,39.4
1,105,21.6,24.9,28.0,31.8,39.9
1,106,21.7,25.2,28.2,32.2,40.3
1,107,21.9,25.4,28.5,32.6,40.8
1,108,22.1,25.7,28.8,32.9,41.3
1,109,22.3,25.9,29.1,33.3,41.8
1,110,22.5,26.2,29.4,33.7,42.3
1,111,22.7,26.4,29.8,34.0,42.8
1,112,22.9,26.7,30.1,34.4,43.3
1,113,23.1,26.9,30.4,34.8,43.9
1,114,23.3,27.2,30.7,35.2,44.4
1,115,23.5,27.5,31.0,35.6,44.9
1,116,23.8,27.8,31.4,36.0,45.4
1,117,24.0,28.0,31.7,36.4,46.0
1,118,24.2,28.3,32.0,36.8,46.5
1,119,24.4,28.6,32.4,37.2,47.1
1,120,24.6,28.9,32.7,37.6,47.6
1,121,24.9,29.2,33.1,38.0,48.2
1,122,25.1,29.5,33.4,38.5,48.7
1,123,25.3,29.8,33.8,38.9,49.3
1,124,25.6,30.1,34.1,39.3,49.8
1,125,25.8,30.4,34.5,39.7,50.4
1,126,26.1,30.7,34.8,40.2,51.0
1,127,26.3,31.0,35.2,40.6,51.5
1,128,26.5,31.3,35.6,41.0,52.1
1,129,26.8,31.6,35.9,41.4,52.7
1,130,27.1,31.9,36.3,41.9,53.2
1,131,27.3,32.2,36.7,42.3,53.8
1,132,27.6,32.5,37.0,42.8,54.4
1,133,27.8,32.9,37.4,43.2,55.0
1,134,28.1,33.2,37.8,43.6,55.5
1,135,28.4,33.5,38.1,44.1,56.1
1,136,28.6,33.8,38.5,44.5,56.7
1,137,28.9,34.1,38.9,44.9,57.2
1,138,29.2,34.5,39.2,45.4,57.8
1,139,29.5,34.8,39.6,45.8,58.3
1,140,29.7,35.1,40.0,46.2,58.9
1,141,30.0,35.4,40.4,46.6,59.5
1,142,30.3,35.8,40.7,47.1,60.0
1,143,30.6,36.1,41.1,47.5,60.5
1,144,30.9,36.4,41.5,47.9,61.1
1,145,31.2,36.7,41.8,48.3,61.6
1,146,31.4,37.1,42.2,48.7,62.2
1,147,31.7,37.4,42.6,49.2,62.7
1,148,32.0,37.7,42.9,49.6,63.2
1,149,32.3,38.0,43.3,50.0,63.7
1,150,32.6,38.4,43.6,50.4,64.2
1,151,32.9,38.7,44.0,50.8,64.7
1,152,33.2,39.0,44.3,51.1,65.2
1,153,33.5,39.3,44.7,51.5,65.7
1,154,33.7,39.6,45.0,51.9,66.2
1,155,34.0,39.9,45.3,52.3,66.7
